application_uid,authority_name,reference,planning_decision,n_docs_used,total_chars,used_refusal_section,mentions_heat_pump,n_labels,labels
24/01008/DOM,Chichester,,REFUSE,2,42756,True,False,0,
24/01048/FUL,Sevenoaks,,Refused,2,24223,False,True,12,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; trees_landscaping; flood_drainage; highways; biodiversity
24/01125/HFUL,South Cambridgeshire,,Refused Permission,6,32348,True,True,4,visual_amenity; heritage_conservation_area; design_scale_siting; policy_general
24/01128/LDCEX,Sevenoaks,,Refused,2,13613,False,True,8,visual_amenity; noise; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; flat_apartment
24/01174/FULH,North Tyneside,,Application Refused,3,22244,True,True,3,noise; neighbour_amenity; policy_general
24/01251/H,Bristol,,REFUSED,2,12029,False,True,9,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; trees_landscaping
24/01286/FULLS,Test Valley,,REFUSE,2,25932,False,True,7,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general
24/01347/APP,Aylesbury Vale,,Refused,2,57286,True,False,3,neighbour_amenity; policy_general; biodiversity
24/01440/AMCON,Hart,,Refuse,1,5425,False,True,5,visual_amenity; noise; design_scale_siting; neighbour_amenity; policy_general
24/01465/NMMA,Hart,,Refuse,1,2350,False,True,1,visual_amenity
24/015/HH,Orkney,,Application Refused,3,38936,True,False,1,design_scale_siting
24/01536/F,Kings Lynn,,Application Refused,2,16231,False,True,10,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; flood_drainage; flat_apartment
24/01549/LIB,Argyll,,Refuse,2,83810,True,False,3,visual_amenity; heritage_listed; design_scale_siting
24/01550/PP,Argyll,,Refuse,2,84151,True,False,0,
24/01607/FUL,Sheffield,,Refuse,2,17205,False,True,8,visual_amenity; noise; design_scale_siting; permitted_development; neighbour_amenity; policy_general; highways; biodiversity
24/01668/NMA,West Oxfordshire,,Refuse,1,2346,True,True,1,noise
24/01715/FUL,Chester,,Refusal,3,52679,True,False,4,visual_amenity; design_scale_siting; neighbour_amenity; policy_general
24/01800/CLEUD,Cotswold,24/01800/CLOPUD,Application Refused,4,49057,True,False,0,
24/01800/CLOPUD,Cotswold,,Application Refused,4,49057,True,False,0,
24/01800/FUL,Oxford,,Refused,2,32035,True,False,5,heritage_listed; heritage_conservation_area; design_scale_siting; policy_general; flood_drainage
24/01857/FUL,Oxford,,Refused,4,23066,True,False,5,heritage_listed; heritage_conservation_area; design_scale_siting; policy_general; flood_drainage
24/01865/HOU,Hart,,Refuse,4,45033,True,False,1,design_scale_siting
24/01955/LBC,Fife,,Refusal/Enforcement Action,10,115149,True,True,3,heritage_listed; heritage_conservation_area; policy_general
24/01994/APP,Aylesbury Vale,,Householder Refusal,2,25014,True,False,4,visual_amenity; heritage_listed; heritage_conservation_area; policy_general
24/02066/LDCEX,Sevenoaks,,Refused,2,17837,True,True,8,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; flat_apartment
24/02073/FUL,Lambeth,,Refuse Permission,2,23429,True,True,5,visual_amenity; noise; design_scale_siting; neighbour_amenity; policy_general
24/02190/FUL,Croydon,,Permission Refused,2,19119,True,True,2,noise; policy_general
24/02218/AMD,Stratford on Avon,,Refusal of non material amendment,2,9674,False,True,5,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; policy_general
24/0231,Brent,,Permission Refused,7,197840,False,True,13,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; trees_landscaping; flood_drainage; highways; biodiversity; flat_apartment
24/02321/NMC,Lambeth,,Refuse Permission,2,15656,True,True,1,flat_apartment
24/02349/FUL,Lambeth,,Refuse Permission,2,25877,True,False,2,visual_amenity; policy_general
24/0241/HSE,Hertsmere,,Refuse Permission,2,33245,True,False,4,visual_amenity; design_scale_siting; neighbour_amenity; policy_general
24/02429/HSE,Cardiff,,Refuse,4,37789,False,True,9,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; biodiversity
24/02532/HFUL,Cambridge,,Refused Permission,3,21046,True,True,3,noise; neighbour_amenity; policy_general
24/02537/HFUL,South Cambridgeshire,,Refused Permission,3,29477,True,True,4,visual_amenity; design_scale_siting; neighbour_amenity; policy_general
24/02601/FU,Leeds,,Refused,2,18517,False,True,5,visual_amenity; design_scale_siting; neighbour_amenity; policy_general; highways
24/02622/FUL,Lambeth,,Refuse Permission,2,26196,True,False,2,design_scale_siting; policy_general
24/02670/NMC,Lambeth,,Refuse Permission,2,9909,True,True,0,
24/02754/APP,Aylesbury Vale,,Householder Refusal,2,18422,True,True,4,visual_amenity; heritage_listed; design_scale_siting; policy_general
24/02755/ALB,Aylesbury Vale,,Listed Building Refusal,1,4461,False,True,5,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; policy_general
24/02765/NMAMD,Tunbridge Wells,,Application Refused,4,18147,False,True,10,visual_amenity; noise; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; trees_landscaping; flood_drainage; biodiversity
24/02849/AMP,Shropshire,,Refuse,2,10906,True,True,2,heritage_listed; flat_apartment
24/02895/FUL,Oxford,,Refused,2,16707,True,False,5,noise; heritage_listed; heritage_conservation_area; design_scale_siting; policy_general
24/02936/CLUP,Cherwell,,Refused,2,3733,False,True,1,permitted_development
24/03092/FUL,Chester,,Refusal,2,18374,True,False,2,design_scale_siting; policy_general
24/03156/CONDLB,Bath,,REFUSE,1,6372,False,True,6,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; policy_general; flat_apartment
24/03219/FUL,Sheffield,,Refuse,2,16978,False,True,8,visual_amenity; noise; design_scale_siting; permitted_development; neighbour_amenity; policy_general; highways; biodiversity
24/03254/CLUP,Cherwell,,Refused,3,13323,False,True,7,noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; policy_general; flat_apartment
24/03498/FUL,Enfield,,Refused,3,18822,True,False,2,policy_general; flood_drainage
24/03503/NMA,Sheffield,,Refuse,2,7020,False,True,7,visual_amenity; noise; design_scale_siting; permitted_development; neighbour_amenity; policy_general; flat_apartment
24/03514/H,Bristol,,REFUSED,2,18692,False,True,9,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; trees_landscaping
24/03542/FUL,Lambeth,,Refuse Permission,3,21902,True,True,3,visual_amenity; design_scale_siting; policy_general
24/03654/FUL,Chester,,Refusal,2,18968,False,True,8,visual_amenity; noise; heritage_listed; design_scale_siting; permitted_development; neighbour_amenity; policy_general; highways
24/03814/FUL,Edinburgh,,Refused,2,19649,True,False,6,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general
24/03905/FU,Leeds,,Refused,2,20161,False,True,7,visual_amenity; noise; design_scale_siting; neighbour_amenity; policy_general; highways; flat_apartment
24/03936/H,Bristol,,REFUSED,3,28042,False,True,10,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; trees_landscaping; flat_apartment
24/03982/H,Bristol,,REFUSED,2,22496,False,True,7,visual_amenity; noise; design_scale_siting; neighbour_amenity; policy_general; trees_landscaping; flat_apartment
24/04001/HFUL,South Cambridgeshire,,Refused Permission,3,39707,True,True,6,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; policy_general; flood_drainage
24/04241/FUL,South Cambridgeshire,,Refused Permission,4,52296,True,True,7,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; policy_general; flood_drainage; biodiversity
24/04242/LBC,South Cambridgeshire,,Refused Permission,4,31218,False,True,10,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; flood_drainage; highways; flat_apartment
24/04643/HFUL,South Cambridgeshire,,Refused Permission,3,18621,True,True,3,noise; neighbour_amenity; policy_general
24/0473/HH,Caerphilly,,Refused,2,17065,False,True,7,visual_amenity; noise; design_scale_siting; permitted_development; neighbour_amenity; policy_general; biodiversity
24/04748/FUL,South Cambridgeshire,,Refused Permission,3,36680,True,True,3,neighbour_amenity; policy_general; biodiversity
24/05026/FU,Leeds,,Refused,2,20143,True,False,2,visual_amenity; heritage_listed
24/05933/FU,Leeds,,Refused,3,24720,False,True,7,visual_amenity; noise; heritage_listed; design_scale_siting; permitted_development; neighbour_amenity; policy_general
24/06213/FU,Leeds,,Refused,3,26841,False,True,6,visual_amenity; noise; design_scale_siting; permitted_development; neighbour_amenity; policy_general
24/0664/HH,Caerphilly,,Refused,5,104201,False,True,8,visual_amenity; noise; design_scale_siting; permitted_development; neighbour_amenity; policy_general; biodiversity; flat_apartment
24/06691/CLP,Leeds,,Refused,1,4193,False,True,2,permitted_development; policy_general
24/07071/FU,Leeds,,Refused,3,21290,False,True,8,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general
24/07336/FU,Leeds,,Refused,2,21561,False,True,9,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; greenbelt; highways
24/07337/LI,Leeds,,Refused,2,19258,False,True,8,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; greenbelt; highways
24/0754/HH,Powys,,Refused,1,6431,False,True,3,noise; neighbour_amenity; policy_general
24/0913/HH,Powys,,Refused,1,6267,False,True,4,noise; design_scale_siting; neighbour_amenity; policy_general
24/1036,Brent,,Certificate of Lawfulness - Refused,5,85091,False,True,8,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; flat_apartment
24/10847,New Forest (District),,Refused,26,487965,True,False,3,visual_amenity; policy_general; biodiversity
24/1145/HH,Powys,,Refused,1,7380,False,True,4,visual_amenity; heritage_listed; heritage_conservation_area; policy_general
24/1161/NMA,Surrey Heath,,Refuse,2,11048,False,True,3,noise; neighbour_amenity; policy_general
24/1175/LBC,Powys,,Refused,1,7282,False,True,4,visual_amenity; heritage_listed; heritage_conservation_area; policy_general
24/156/PP,Orkney,,Application Refused,2,45400,True,False,4,visual_amenity; design_scale_siting; neighbour_amenity; flat_apartment
24/160/PPMAJ,Orkney,,Application Refused,2,74781,True,False,0,
24/1777/F,Greenwich,,Refuse,2,20447,True,False,3,visual_amenity; design_scale_siting; policy_general
24/1866/FUL,Three Rivers,,refused,2,184138,True,False,6,visual_amenity; heritage_listed; design_scale_siting; neighbour_amenity; policy_general; biodiversity
24/1872/HSE,Barnet,,Refuse,2,30296,True,False,0,
24/1895/HD,Greenwich,,Refuse,1,5661,True,True,3,visual_amenity; design_scale_siting; policy_general
24/2125/HD,Greenwich,,Refuse,2,24107,True,False,3,design_scale_siting; neighbour_amenity; policy_general
24/22733/FUL,Brecon Beacons,,Refuse,1,10403,True,True,9,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; biodiversity
24/23015/FUL,Brecon Beacons,,Refuse,2,17237,False,True,7,noise; heritage_listed; design_scale_siting; permitted_development; neighbour_amenity; policy_general; biodiversity
24/2488,Brent,,Permission Refused,9,181546,False,True,10,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; flood_drainage; biodiversity; flat_apartment
24/276/PP,Orkney,,Application Refused,1,9651,True,False,4,design_scale_siting; policy_general; flood_drainage; flat_apartment
24/2916/HSE,Barnet,,Refuse,2,24315,True,False,0,
24/3685/HSE,Barnet,,Refuse,2,31416,False,True,7,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general
24/439/PP,Orkney,,Application Refused,2,25174,True,False,2,noise; design_scale_siting
24/500653/LBC,Mid Kent,,Application Refused,2,18089,False,True,7,heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; flood_drainage; flat_apartment
24/502265/FULL,Mid Kent,,Application Refused,2,17157,True,True,5,visual_amenity; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general
24/503529/FULL,Mid Kent,,Application Refused,2,16942,True,False,4,visual_amenity; heritage_conservation_area; neighbour_amenity; policy_general
24/9/00226/MOD,Leeds,,Refused Not A Non Material Amendment,1,2285,False,True,1,noise
24/AP/2297,Southwark,,Householder - REFUSED,2,39544,True,True,8,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; trees_landscaping
24/N/00058,Guildford,,"Part Approved, Part Refused",1,3601,False,True,1,flat_apartment
24/N/00137,Guildford,,Refuse,2,13146,False,True,5,visual_amenity; design_scale_siting; neighbour_amenity; policy_general; highways
24/P/01329,Guildford,,Refuse,2,17924,True,True,3,noise; neighbour_amenity; policy_general
24/P/0310/HH,Torfaen,,Refuse,3,79117,True,False,1,policy_general
24/P/1060/FUH,North Somerset,,Refuse,2,16156,True,True,3,noise; neighbour_amenity; policy_general
24/P/1187/FUH,North Somerset,,Refuse,2,15178,True,False,4,noise; design_scale_siting; neighbour_amenity; policy_general
240554,Colchester,,Refuse,1,9762,False,True,6,noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general
241326NMA,Ealing,,Refused,2,20932,False,True,7,visual_amenity; noise; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; flat_apartment
241803NMA,Ealing,,Refused,2,24854,False,True,9,visual_amenity; noise; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; trees_landscaping; flood_drainage; flat_apartment
242287,Colchester,,Refuse,1,11536,False,True,7,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general
242619,Wokingham,,Refused,4,39259,False,True,11,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; greenbelt; biodiversity; flat_apartment
242716HH,Ealing,,Refused,2,23416,False,True,7,visual_amenity; noise; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; flat_apartment
242777,Wokingham,,Refused,4,81674,False,True,4,visual_amenity; noise; design_scale_siting; neighbour_amenity
242833,Wokingham,,Refused,5,46155,False,True,11,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; flood_drainage; highways; biodiversity
243078,Wokingham,,Refused,5,40409,False,True,11,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; greenbelt; highways; biodiversity
243715HH,Ealing,,Refused,2,26222,False,True,8,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; flat_apartment
244142CPL,Ealing,,Refused,2,23699,False,True,8,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; policy_general; flat_apartment
25/00008/HOU,Isle of Wight,,Refused,2,15235,False,True,7,visual_amenity; noise; design_scale_siting; permitted_development; neighbour_amenity; policy_general; biodiversity
25/00038/APP,Aylesbury Vale,,Householder Refusal,2,17671,True,True,4,noise; design_scale_siting; neighbour_amenity; policy_general
25/00132/FUL,Kingston,,Refuse,1,20707,True,True,2,neighbour_amenity; policy_general
25/0015/F,Greenwich,,Refuse,3,78163,True,False,4,visual_amenity; design_scale_siting; policy_general; flat_apartment
25/00153/FULL,Basildon,,Refused,2,12731,False,True,6,visual_amenity; noise; design_scale_siting; neighbour_amenity; policy_general; highways
25/00163/NMA,Chichester,,REFUSE,2,17351,False,True,7,visual_amenity; noise; design_scale_siting; neighbour_amenity; policy_general; trees_landscaping; flood_drainage
25/00219/S73,Plymouth,,Refuse,3,35118,True,True,3,design_scale_siting; policy_general; flood_drainage
25/00221/NMA,Westminster,,Application Refused,3,33306,True,False,0,
25/00248/HOU,Portsmouth,,Refuse,4,38778,True,False,3,design_scale_siting; neighbour_amenity; policy_general
25/00423/FULHH,Chorley,,Refuse Full Planning Permission,1,8646,False,True,3,noise; neighbour_amenity; policy_general
25/00438/FULHH,Chorley,,Refuse Full Planning Permission,2,11733,False,True,4,noise; permitted_development; neighbour_amenity; policy_general
25/00474/FULPP,Rushmoor,,Permission Refused,4,16824,False,True,6,visual_amenity; noise; design_scale_siting; permitted_development; neighbour_amenity; policy_general
25/00534/DET,Lambeth,,Refuse Permission,2,11664,True,False,2,design_scale_siting; policy_general
25/00570/FUL,Lambeth,,Refuse Permission,2,29908,True,True,3,noise; neighbour_amenity; policy_general
25/00571/FUL,Lambeth,,Refuse Permission,2,27287,True,True,5,noise; design_scale_siting; permitted_development; neighbour_amenity; policy_general
25/00580/DISCON,Cheltenham,,Refuse,1,1748,False,True,2,noise; policy_general
25/00671/FULH,Watford,,Refuse Planning Permission,4,18328,True,False,3,noise; neighbour_amenity; policy_general
25/00721/HSE,Croydon,,Permission Refused,2,15023,True,True,3,noise; neighbour_amenity; policy_general
25/00726/FULLN,Test Valley,,REFUSE,2,32854,False,True,10,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; highways; biodiversity; flat_apartment
25/00740/NMMA,Hart,,Refuse,2,7680,True,False,1,design_scale_siting
25/00875/FUL,Oxford,,Refused,2,79836,True,True,8,noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; flood_drainage; biodiversity
25/00903/HH,Newham,,Refuse,2,17776,True,False,2,visual_amenity; neighbour_amenity
25/00949/FUL,Chorley,,Refuse Full Planning Permission,1,9332,False,True,3,noise; heritage_listed; policy_general
25/01076/FUL,Chichester,,REFUSE,2,52765,False,True,10,visual_amenity; noise; heritage_listed; design_scale_siting; neighbour_amenity; policy_general; trees_landscaping; flood_drainage; highways; biodiversity
25/01085/FUL,Epsom and Ewell,,Application Refused,1,9046,False,True,5,visual_amenity; design_scale_siting; neighbour_amenity; policy_general; flat_apartment
25/01141/HOU,Spelthorne,,Application Refused,3,32878,True,True,0,
25/01166/FULLN,Test Valley,,REFUSE,2,55609,False,True,10,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; flood_drainage; highways; biodiversity
25/01187/FUL,Cambridge,,Refused Permission,3,39586,True,True,5,heritage_listed; design_scale_siting; policy_general; biodiversity; flat_apartment
25/0122,Brent,,Certificate of Lawfulness - Refused,3,23430,False,True,8,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; policy_general; flat_apartment
25/01276/FUL,Rushcliffe,,Refuse permission with reasons,4,106810,False,True,11,visual_amenity; noise; design_scale_siting; permitted_development; neighbour_amenity; policy_general; flood_drainage; greenbelt; highways; biodiversity; flat_apartment
25/01283/FUL,Cheltenham,,Refuse,2,16353,True,True,3,noise; neighbour_amenity; policy_general
25/01297/FUL,Oxford,,Refused,2,62249,True,True,4,noise; neighbour_amenity; policy_general; flood_drainage
25/01382/FUL,Brentwood,,Application Refused,2,68438,True,False,8,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; policy_general; greenbelt; highways; biodiversity
25/01397/HOU,Portsmouth,,Refuse,2,41227,True,True,3,design_scale_siting; neighbour_amenity; policy_general
25/01425/LBC,Lichfield,,Refuse,3,25972,False,True,11,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; trees_landscaping; flood_drainage; greenbelt; biodiversity
25/01448/FUL,Rushcliffe,,Refuse permission with reasons,2,13192,False,True,6,visual_amenity; noise; design_scale_siting; permitted_development; neighbour_amenity; policy_general
25/01494/FUL,Enfield,,Refused,3,31812,True,False,2,policy_general; flood_drainage
25/01563/AMEND,North Tyneside,,Application Refused,2,10802,False,True,8,visual_amenity; noise; design_scale_siting; neighbour_amenity; policy_general; flood_drainage; highways; flat_apartment
25/01588/FUL,Harrogate,,Application Refused,1,9345,False,True,8,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; highways; biodiversity
25/01681/FUL,Chester,,Refusal,2,17455,False,True,8,visual_amenity; noise; heritage_listed; design_scale_siting; permitted_development; neighbour_amenity; policy_general; highways
25/01712/FUL,Chichester,,REFUSE,2,64316,True,False,4,design_scale_siting; policy_general; highways; biodiversity
25/01866/FUL,Oxford,,Refused,2,32240,True,True,7,noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; flood_drainage
25/01937/LU2,Sheffield,,Refuse,2,19896,False,True,7,visual_amenity; noise; design_scale_siting; permitted_development; neighbour_amenity; policy_general; flat_apartment
25/01938/FUL,Sheffield,,Refuse,3,23877,False,True,9,visual_amenity; noise; design_scale_siting; permitted_development; neighbour_amenity; policy_general; greenbelt; highways; biodiversity
25/0200/HOUS,North Kesteven,,Refused,2,18732,False,True,8,visual_amenity; noise; design_scale_siting; permitted_development; neighbour_amenity; policy_general; flood_drainage; highways
25/02016/HFUL,South Cambridgeshire,,Refused Permission,4,23440,True,True,3,noise; neighbour_amenity; policy_general
25/02222/FUL,Oxford,,Refused,1,8469,True,False,5,noise; heritage_listed; heritage_conservation_area; design_scale_siting; policy_general
25/02324/HOU,Winchester,,Application Refused,2,15205,True,False,0,
25/02401/CPUF,Kingston,,Refuse,2,17384,False,True,8,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; flat_apartment
25/02410/HFUL,South Cambridgeshire,,Refused Permission,3,24067,True,True,3,noise; neighbour_amenity; policy_general
25/02615/FUL,Chester,,Refusal,2,21358,False,True,8,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; highways
25/02654/LDCP,Lambeth,,Refuse Permission,2,21083,True,False,1,permitted_development
25/02657/HFUL,South Cambridgeshire,,Refused Permission,3,39003,True,True,5,heritage_listed; heritage_conservation_area; design_scale_siting; policy_general; greenbelt
25/02658/LBC,South Cambridgeshire,,Refused Permission,3,31215,False,True,8,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; flood_drainage; flat_apartment
25/02666/FUL,Lambeth,,Refuse Permission,2,23189,True,True,3,visual_amenity; design_scale_siting; policy_general
25/02708/HFUL,South Cambridgeshire,,Refused Permission,3,21261,True,True,3,noise; neighbour_amenity; policy_general
25/02790/HOU,Kingston,,Refuse,1,17956,True,True,3,noise; neighbour_amenity; policy_general
25/02855/FULL,Tunbridge Wells,,Application Refused,2,18604,True,False,2,design_scale_siting; policy_general
25/02903/FU,Leeds,,Refused,2,20657,False,True,9,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; greenbelt; biodiversity
25/02904/LI,Leeds,,Refused,2,20248,False,True,8,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; biodiversity
25/02964/CLUP,Cherwell,,Refused,3,12818,False,True,7,visual_amenity; noise; heritage_listed; design_scale_siting; permitted_development; policy_general; flat_apartment
25/03139/CLC,Kingston,,Refuse,1,13067,False,True,4,design_scale_siting; neighbour_amenity; policy_general; flood_drainage
25/03140/CLC,Kingston,,Refuse,1,11722,False,True,4,design_scale_siting; neighbour_amenity; policy_general; flood_drainage
25/03141/CLC,Kingston,,Refuse,1,11146,False,True,3,neighbour_amenity; policy_general; flood_drainage
25/03142/CLC,Kingston,,Refuse,1,13297,False,True,4,design_scale_siting; neighbour_amenity; policy_general; flood_drainage
25/03193/FU,Leeds,,Refused,2,14733,False,True,7,visual_amenity; noise; design_scale_siting; permitted_development; neighbour_amenity; policy_general; biodiversity
25/03340/FUL,Cotswold,,Application Refused,10,1149538,True,False,0,
25/03475/LDCP,Lambeth,,Refuse Permission,2,13656,False,True,8,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; policy_general; flat_apartment
25/03516/CONR,Croydon,,Permission Refused,2,16741,True,True,3,noise; neighbour_amenity; policy_general
25/03914/HFUL,Cambridge,,Refused Permission,3,25823,True,True,3,noise; neighbour_amenity; policy_general
25/04022/HFUL,Cambridge,,Refused Permission,3,21197,True,True,3,visual_amenity; design_scale_siting; policy_general
25/04300/FU,Leeds,,Refused,2,21011,False,True,8,visual_amenity; noise; design_scale_siting; permitted_development; neighbour_amenity; policy_general; biodiversity; flat_apartment
25/04334/FULL,Westminster,,Application Refused,2,27835,True,False,1,design_scale_siting
25/05045/HFUL,Cambridge,,Refused Permission,3,23949,True,True,6,visual_amenity; noise; design_scale_siting; neighbour_amenity; policy_general; greenbelt
25/05063/FULL,Westminster,,Application Refused,2,28158,True,False,1,design_scale_siting
25/05064/LBC,Westminster,,Application Refused,2,15484,True,False,1,design_scale_siting
25/05104/FU,Leeds,,Refused,4,86142,True,True,8,visual_amenity; design_scale_siting; neighbour_amenity; policy_general; trees_landscaping; flood_drainage; highways; flat_apartment
25/05141/ADFULL,Westminster,,Application Refused,2,18785,True,False,0,
25/0573/FUL,Pendle,,Refuse,5,101151,True,False,1,policy_general
25/0581/FFU,Surrey Heath,,Refuse,6,94688,True,True,1,policy_general
25/0598/HH,Caerphilly,,Refused,2,11300,False,True,7,visual_amenity; noise; design_scale_siting; permitted_development; neighbour_amenity; policy_general; biodiversity
25/06002/FULL,Westminster,,Application Refused,2,40462,True,False,0,
25/06003/LBC,Westminster,,Application Refused,2,23956,True,False,0,
25/06427/FU,Leeds,,Refused,2,23914,False,True,9,visual_amenity; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; trees_landscaping; greenbelt; highways; biodiversity
25/06535/CLP,Leeds,,Refused,1,4018,False,True,4,noise; permitted_development; policy_general; flat_apartment
25/06713/CLP,Leeds,,Refused,1,3976,False,True,3,noise; permitted_development; policy_general
25/0815/FUL,Barnet,,Refuse,2,45805,True,False,4,visual_amenity; design_scale_siting; policy_general; biodiversity
25/0835/HSE,Hertsmere,,Refuse Permission,2,37780,True,True,5,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; policy_general
25/0881/F,Greenwich,,Refuse,2,88039,True,False,1,policy_general
25/10707/PINS,Bristol,,REFUSED,1,30458,False,True,11,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; flood_drainage; highways; biodiversity; flat_apartment
25/12762/H,Bristol,,REFUSED,3,51360,False,True,10,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; trees_landscaping; flat_apartment
25/12763/LA,Bristol,,REFUSED,3,45021,False,True,10,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; trees_landscaping; flat_apartment
25/14927/H,Bristol,,REFUSED,2,21522,False,True,9,visual_amenity; noise; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; trees_landscaping; flat_apartment
25/1730/HD,Greenwich,,Refuse,3,53667,True,True,7,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general
25/1740,Brent,,Permission Refused,3,82585,False,True,10,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; flood_drainage; flat_apartment
25/1745/FUL,Barnet,,Refuse,2,52024,True,False,0,
25/1763/HH,Powys,,Refused,1,7203,False,True,3,heritage_listed; policy_general; biodiversity
25/1997/HSE,Barnet,,Refuse,2,31513,True,False,0,
