application_uid,authority_name,reference,planning_decision,n_docs_used,total_chars,used_refusal_section,mentions_heat_pump,n_labels,labels
2024/5091/FULL,West Northamptonshire,,Withdrawn,2,66977,False,True,5,visual_amenity; noise; design_scale_siting; permitted_development; policy_general
2025/00147/VAR,Hammersmith and Fulham,,Application Withdrawn (Applicant/Agent),5,21181,False,True,4,heritage_listed; design_scale_siting; neighbour_amenity; flat_apartment
2025/0062/FUL,Rutland,,Application Withdrawn,2,2509,False,True,1,design_scale_siting
2025/0108,Wandsworth,,Withdrawn,8,71692,False,True,8,visual_amenity; noise; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; flat_apartment
2025/01283/FUL,Hammersmith and Fulham,,Application Withdrawn (Applicant/Agent),10,1439999,False,True,11,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; trees_landscaping; flood_drainage; biodiversity; flat_apartment
2025/025/PPF,Shetlands,,Withdrawn,2,7217,False,False,1,design_scale_siting
2025/1406,Wandsworth,,Withdrawn,1,1995,False,True,1,noise
2025/203,Tandridge,,Withdrawn,1,1454,False,False,0,
2025/2071,Wandsworth,,Withdrawn,5,348000,False,True,13,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; trees_landscaping; flood_drainage; greenbelt; highways; biodiversity; flat_apartment
2025/2348,Wandsworth,,Withdrawn,4,31343,False,True,9,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; biodiversity; flat_apartment
2025/3117,Wandsworth,,Withdrawn,4,198015,False,True,9,visual_amenity; noise; heritage_listed; design_scale_siting; neighbour_amenity; policy_general; flood_drainage; highways; flat_apartment
2025/3470/NMA,West Northamptonshire,,Withdrawn,1,2670,False,True,2,design_scale_siting; policy_general
2025/4705,Wandsworth,,Withdrawn,2,46972,False,True,7,visual_amenity; noise; design_scale_siting; neighbour_amenity; policy_general; flood_drainage; flat_apartment
2025/4713,Wandsworth,2026/0173,Withdrawn,3,12256,False,True,8,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; policy_general; flood_drainage
2026/0173,Wandsworth,,Withdrawn,3,12256,False,True,8,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; policy_general; flood_drainage
21/00097/APP,Aylesbury Vale,,Application Withdrawn,1,2701,False,True,1,design_scale_siting
21/00147/FUL,Cambridge,,Withdrawn,2,7690,False,True,1,design_scale_siting
21/00514/LBC,North West Leicestershire,,Application Withdrawn,5,1480314,False,True,9,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; policy_general; trees_landscaping; flood_drainage; biodiversity; flat_apartment
21/00793/PAN,Edinburgh,,withdrawn,2,16366,False,True,9,noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; flood_drainage; highways; biodiversity
21/00939/FUL,Scottish Borders,,Withdrawn,9,85225,False,True,5,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; flat_apartment
21/01039/CLE,Hambleton,,Withdrawn,2,3306,False,True,2,heritage_listed; heritage_conservation_area
21/01425/HFUL,South Cambridgeshire,,Withdrawn,2,7006,False,True,1,design_scale_siting
21/01746/FUL,West Oxfordshire,,Application Withdrawn,5,65132,False,True,6,visual_amenity; design_scale_siting; policy_general; highways; biodiversity; flat_apartment
21/01857/CLP,Edinburgh,,withdrawn,2,2872,False,True,0,
21/02140/LBC,Tunbridge Wells,,Application Withdrawn,3,3630,False,True,1,heritage_listed
21/02491/NMC,Lambeth,,Application Withdrawn,1,1859,False,True,0,
21/02778/FUL,Oxford,,Application Withdrawn,3,77024,False,True,6,heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; flat_apartment
21/02999/FULLN,Test Valley,,WITHDRAWN,1,2059,False,True,0,
21/03963/NMA,Sheffield,,Withdrawn,2,2980,False,True,0,
21/04437/FUL,Shropshire,,Withdrawn,3,22265,False,True,9,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; flood_drainage; biodiversity
21/04438/LBC,Shropshire,,Withdrawn,4,31431,False,True,9,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; flood_drainage; biodiversity
21/05446/FUL,Shropshire,,Withdrawn,4,13809,False,True,4,heritage_listed; design_scale_siting; flood_drainage; biodiversity
21/08647/COLBC,Westminster,,Application Withdrawn,1,30956,False,True,2,noise; design_scale_siting
21/08647/LBC,Westminster,21/08647/COLBC,Application Withdrawn,1,30956,False,True,2,noise; design_scale_siting
21/1456/LBC,Powys,,Application Withdrawn,2,11063,False,True,6,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; policy_general
21/3039/NM,Greenwich,,Withdrawn,1,3413,False,True,0,
21/3890/F,Greenwich,,Withdrawn,1,2940,False,True,2,heritage_listed; heritage_conservation_area
21/4272/F,Greenwich,,Withdrawn,1,2787,False,True,2,heritage_listed; heritage_conservation_area
21/505076/LBC,Mid Kent,,Application Withdrawn,2,6106,False,True,2,heritage_listed; design_scale_siting
21/506602/FULL,Mid Kent,,Application Withdrawn,2,8567,False,True,1,design_scale_siting
21/AP/0835,Southwark,,Application Withdrawn,1,4249,False,True,1,policy_general
21/AP/4623,Southwark,,Application Withdrawn,2,11561,False,True,5,visual_amenity; noise; design_scale_siting; permitted_development; policy_general
21/P/01330,Guildford,,Withdrawn,4,10278,False,True,6,visual_amenity; design_scale_siting; policy_general; greenbelt; highways; biodiversity
213804CPL,Ealing,,Application Withdrawn,4,190061,False,True,9,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; flat_apartment
22/00037/CPU,Oxford,,Application Withdrawn,3,18789,False,True,9,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; flat_apartment
22/00194/FUL,Oxford,,Application Withdrawn,2,19813,False,True,0,
22/00427/LBC,Plymouth,,Application Withdrawn,1,1671,False,True,2,heritage_listed; heritage_conservation_area
22/00516/FUL,North West Leicestershire,,Application Withdrawn,2,4702,False,True,0,
22/00533/RG3,Lambeth,,Application Withdrawn,1,1778,False,True,0,
22/00556/FUL,Shropshire,,Withdrawn,2,2698,False,True,2,noise; permitted_development
22/00566/NONMAT,Dartford,,Application Withdrawn,2,11690,False,True,1,noise
22/00594/LBC,Cambridge,,Withdrawn,2,7117,False,True,4,noise; heritage_listed; design_scale_siting; flat_apartment
22/00694/LBC,Edinburgh,,withdrawn,2,2543,False,True,2,heritage_listed; heritage_conservation_area
22/00816/FUL,Bath,,Application Withdrawn,2,4434,False,True,4,heritage_listed; design_scale_siting; flood_drainage; biodiversity
22/00817/LBA,Bath,,Application Withdrawn,2,4573,False,True,5,heritage_listed; heritage_conservation_area; design_scale_siting; flood_drainage; biodiversity
22/00971/HHOLD,Reigate,,Withdrawn by Applicant,1,1746,False,True,0,
22/01126/AMD,Plymouth,,Application Withdrawn,1,9467,False,True,4,heritage_listed; heritage_conservation_area; design_scale_siting; policy_general
22/01787/PP,Argyll,,Application Withdrawn,2,15958,False,True,2,design_scale_siting; flood_drainage
22/01917/FUL,Rushcliffe,,Application Withdrawn,3,57433,False,True,7,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; policy_general; highways; flat_apartment
22/01918/LBC,Rushcliffe,,Application Withdrawn,2,37407,False,True,7,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; policy_general; highways; flat_apartment
22/01931/DET03,Reigate,,Withdrawn by Council,1,2081,False,True,1,design_scale_siting
22/01931/DET08,Reigate,,Withdrawn by Council,2,2640,False,True,1,design_scale_siting
22/02049/FUL,Oxford,,Application Withdrawn,4,17018,False,True,2,design_scale_siting; flat_apartment
22/02070/DET10,Reigate,,Withdrawn by Council,1,2265,False,True,3,visual_amenity; design_scale_siting; flood_drainage
22/02318/FUL,Oxford,,Application Withdrawn,6,35938,False,True,7,visual_amenity; noise; design_scale_siting; neighbour_amenity; trees_landscaping; greenbelt; flat_apartment
